Chocolates,Paneer,Potatoes
61.46301809774592,59.24399816435625,58.67924530556314
67.22210371751659,72.47726201860881,69.05270185403256
73.58563462353867,71.65198465700159,72.95999830839656
63.998215838083624,61.10514896069143,64.99854507497871
61.022996860980584,61.85716492376567,62.19321917946424
62.47955989464929,59.74834903101293,61.01527860334649
63.89736204915202,61.268404646585424,62.141138065160945
64.91819992311801,65.70464932718257,65.37412840288349
66.88301397021428,66.3538323761385,67.22491537914438
64.70586464253573,63.13811178276191,64.92401932917352
63.44569376287899,62.92123554113194,63.64588949755112
63.801514654528646,62.34194500916816,63.239159139645885
64.37107101837981,62.52240939623736,63.51470935187955
64.542708885293,63.911823507009004,64.49351251409064
65.07621405156824,64.40345590007024,65.25604999124958
64.62124869014939,63.47575541952647,64.63724128083686
64.18757601485086,63.27322037504941,64.1177154087438
64.23884875247525,63.10306012124568,63.95652219539842
64.44666214508835,63.07868064597855,64.02490557194305
64.48196596581913,63.48879951528217,64.31527364023795
64.612558099519,63.72781782767775,64.60459730742905
64.5255152580204,63.47816240001625,64.4544155164208
64.39363243244456,63.37737046123592,64.25917346949394
64.38824708446744,63.323255823240075,64.1910182157723
64.45687328102942,63.29382589882643,64.2074946594858
64.46870647456284,63.40785200791926,64.29255008086018
64.49789614740887,63.505958316103786,64.3963709895937
64.48261660538873,63.445083066212064,64.3660473072658
64.44593800210252,63.40411064778071,64.29706300565836
64.43822126449332,63.38567987235764,64.26812177307768
